symbol,type,conf,strategy,buy_px,sell_px,ret,reason,bars,close
sh605488,Spring,92,paper_discipline_bull,31.791,30.554,-0.0466,空头信号卖出,1,2026-09-04 09:32:39
sh605488,Spring,92,paper_discipline_bull,30.576,30.355,-0.0151,空头信号卖出,1,2026-09-04 09:32:39
sh605488,Spring,92,paper_discipline_bull,30.795,29.371,-0.0538,空头信号卖出,1,2026-09-04 09:32:39
sh605488,Spring,92,paper_discipline_bull,30.496,29.858,-0.0287,空头信号卖出,1,2026-09-04 09:32:40
sh605388,Spring,91,paper_discipline_bull,7.528,9.021,0.1888,条件单:take_profit,22,2026-09-04 09:32:40
sh605358,Spring,100,paper_discipline_bull,25.264,25.283,-0.0072,空头信号卖出,1,2026-09-04 09:32:40
sh605358,Spring,100,paper_discipline_bull,24.305,25.412,0.0372,空头信号卖出,1,2026-09-04 09:32:41
sh605358,Spring,100,paper_discipline_bull,25.353,24.864,-0.0271,空头信号卖出,1,2026-09-04 09:32:41
sh605398,Spring,92,paper_discipline_bull,29.688,35.733,0.194,条件单:take_profit,2,2026-09-04 09:32:41
sh605358,Spring,100,paper_discipline_bull,24.695,29.925,0.2021,条件单:take_profit,7,2026-09-04 09:32:43
sh605599,Spring,99,paper_discipline_bull,13.758,14.234,0.0264,空头信号卖出,19,2026-09-04 09:32:44
sh605388,ST,100,paper_discipline_bull,7.487,7.273,-0.0363,空头信号卖出,1,2026-09-04 09:32:44
sh605388,ST,100,paper_discipline_bull,7.307,7.333,-0.0044,空头信号卖出,1,2026-09-04 09:32:45
sh605388,ST,100,paper_discipline_bull,7.327,7.492,0.0144,空头信号卖出,1,2026-09-04 09:32:45
sh605388,ST,100,paper_discipline_bull,7.337,7.473,0.0104,空头信号卖出,1,2026-09-04 09:32:45
sh605388,ST,100,paper_discipline_bull,7.477,7.572,0.0046,空头信号卖出,1,2026-09-04 09:32:45
sh605388,ST,100,paper_discipline_bull,7.507,7.373,-0.0257,空头信号卖出,1,2026-09-04 09:32:45
sh605388,ST,100,paper_discipline_bull,7.578,7.403,-0.0309,空头信号卖出,1,2026-09-04 09:32:45
sh605388,ST,100,paper_discipline_bull,7.427,7.413,-0.0098,空头信号卖出,1,2026-09-04 09:32:45
sh605500,ST,93,screener_value_accumulation,9.168,9.021,-0.0239,空头信号卖出,1,2026-09-04 09:32:45
sh605589,Spring,92,paper_discipline_bull,29.71,27.684,-0.0756,条件单:stop_loss,1,2026-09-04 09:32:46
sh605399,Spring,100,paper_discipline_bull,12.643,14.685,0.1523,条件单:take_profit,28,2026-09-04 09:32:47
sh605599,Shakeout,87,screener_value_accumulation,14.367,14.167,-0.0218,空头信号卖出,1,2026-09-04 09:32:47
sh605599,Shakeout,87,screener_value_accumulation,14.205,14.196,-0.0086,空头信号卖出,1,2026-09-04 09:32:47
sh605599,Shakeout,87,screener_value_accumulation,14.262,14.186,-0.0133,空头信号卖出,1,2026-09-04 09:32:47
sh605599,Shakeout,87,screener_value_accumulation,14.224,13.94,-0.0278,空头信号卖出,1,2026-09-04 09:32:47
sh605388,Shakeout,100,paper_discipline_bull,7.568,7.433,-0.0257,空头信号卖出,1,2026-09-04 09:32:47
sh605388,Shakeout,100,paper_discipline_bull,7.417,7.433,-0.0058,空头信号卖出,1,2026-09-04 09:32:47
sh605388,Shakeout,100,paper_discipline_bull,7.487,7.562,0.002,空头信号卖出,1,2026-09-04 09:32:47
sh605388,Shakeout,100,paper_discipline_bull,7.437,7.862,0.0487,空头信号卖出,1,2026-09-04 09:32:47
sh605388,Shakeout,100,paper_discipline_bull,7.558,7.852,0.0306,空头信号卖出,1,2026-09-04 09:32:48
sh605388,Shakeout,100,paper_discipline_bull,7.838,7.942,0.0052,空头信号卖出,1,2026-09-04 09:32:48
sh605388,Shakeout,100,paper_discipline_bull,7.878,7.942,0.0001,空头信号卖出,1,2026-09-04 09:32:48
sh605388,Shakeout,100,paper_discipline_bull,7.938,8.092,0.0113,空头信号卖出,1,2026-09-04 09:32:48
sh605388,Shakeout,100,paper_discipline_bull,7.908,7.682,-0.0363,空头信号卖出,1,2026-09-04 09:32:48
sh605388,Shakeout,100,paper_discipline_bull,7.938,7.722,-0.035,空头信号卖出,1,2026-09-04 09:32:48
sh605388,Shakeout,100,paper_discipline_bull,7.798,7.592,-0.0342,空头信号卖出,1,2026-09-04 09:32:48
sh605368,Spring,100,paper_discipline_bull,9.691,8.941,-0.0847,条件单:stop_loss,194,2026-09-04 09:32:49
sh605358,Spring,94,paper_discipline_bull,29.306,36.36,0.2308,条件单:take_profit,2,2026-09-04 09:32:49
sh605377,Spring,100,paper_discipline_bull,7.535,8.663,0.1405,条件单:take_profit,35,2026-09-04 09:32:57
sh605499,Spring,97,paper_discipline_bull,190.75,207.73,0.0803,空头信号卖出,3,2026-09-04 09:32:57
sh605499,Spring,97,paper_discipline_bull,206.52,205.251,-0.0141,空头信号卖出,1,2026-09-04 09:32:57
sh605589,Spring,92,screener_value_accumulation,27.254,31.39,0.1426,条件单:take_profit,61,2026-09-04 09:32:57
sh605499,Spring,97,paper_discipline_bull,207.72,204.076,-0.0254,空头信号卖出,1,2026-09-04 09:32:57
sh605499,Spring,97,screener_value_accumulation,204.416,203.105,-0.0143,空头信号卖出,1,2026-09-04 09:32:57
sh605555,Spring,92,paper_discipline_bull,18.895,17.308,-0.0913,条件单:stop_loss,5,2026-09-04 09:32:57
sh605555,Spring,92,paper_discipline_bull,17.775,16.377,-0.086,条件单:stop_loss,0,2026-09-04 09:32:57
sh605555,Spring,92,paper_discipline_bull,17.097,15.729,-0.0873,条件单:stop_loss,0,2026-09-04 09:32:57
sh605580,ST,100,paper_discipline_bull,23.106,21.479,-0.0778,条件单:stop_loss,16,2026-09-04 09:32:57
