日期,代码,名称,类型,conf,5根,10根,20根,40根,净收益(扣成本),止损后净收益
2022-10-10,000534,万泽股份,Spring,95,17.75%,10.48%,32.13%,23.46%,31.33%,31.33%
2022-10-10,002642,荣联科技,Spring,95,18.67%,28.19%,44.19%,52.00%,43.39%,43.39%
2022-10-10,603299,苏盐井神,Spring,95,9.65%,17.89%,12.96%,13.47%,12.16%,12.16%
2022-10-11,002640,跨境通,Spring,98,9.67%,45.00%,34.00%,28.00%,33.20%,33.20%
2022-10-11,601163,三角轮胎,Spring,97,4.05%,3.39%,18.00%,25.92%,17.20%,17.20%
2022-10-11,000951,中国重汽,Spring,96,13.96%,15.74%,26.04%,46.53%,25.24%,25.24%
2022-10-11,601100,恒立液压,Spring,96,12.61%,25.84%,29.89%,44.58%,29.09%,29.09%
2022-10-11,002151,北斗星通,Spring,93,6.36%,5.29%,14.16%,14.77%,13.36%,13.36%
2022-10-11,002757,南兴股份,Spring,93,11.25%,23.65%,33.23%,22.81%,32.43%,32.43%
2022-10-11,002039,黔源电力,Spring,92,4.06%,3.84%,-0.66%,5.10%,-1.46%,-1.46%
2022-10-11,600435,北方导航,Spring,92,6.36%,7.53%,27.66%,35.97%,26.86%,26.86%
2022-10-11,000652,泰达股份,Spring,91,6.52%,2.99%,9.78%,11.96%,8.98%,8.98%
2022-10-11,600300,维维股份,ST,91,3.42%,-3.73%,-0.62%,8.39%,-1.42%,-1.42%
2022-10-12,600104,上汽集团,ST,98,0.28%,-1.32%,-0.49%,6.13%,-1.29%,-1.29%
2022-10-12,601012,隆基绿能,Spring,98,1.55%,3.20%,3.27%,-5.06%,2.47%,2.47%
2022-10-12,000582,北部湾港,Spring,92,7.83%,4.56%,7.12%,10.68%,6.32%,6.32%
2022-10-12,002410,广联达,Spring,90,-3.78%,1.96%,4.59%,22.43%,3.79%,3.79%
2022-10-24,600612,老凤祥,Shakeout,90,0.42%,6.67%,6.61%,8.44%,5.81%,5.81%
2022-10-28,600300,维维股份,Spring,97,6.31%,10.30%,8.64%,16.61%,7.84%,7.84%
2022-10-28,600035,楚天高速,Spring,95,3.97%,6.62%,7.62%,7.62%,6.82%,6.82%
2022-10-31,000683,博源化工,Spring,97,8.06%,15.50%,16.59%,22.48%,15.79%,15.79%
2022-10-31,600426,华鲁恒升,Spring,97,8.90%,15.24%,18.91%,23.22%,18.11%,18.11%
2022-10-31,000544,中原环保,Spring,96,8.94%,9.95%,15.68%,8.94%,14.88%,14.88%
2022-10-31,003000,劲仔食品,Spring,95,16.89%,11.84%,16.58%,15.24%,15.78%,15.78%
2022-10-31,002818,富森美,Spring,94,1.68%,2.18%,-0.59%,-0.42%,-1.39%,-1.39%
2022-10-31,600882,妙可蓝多,Spring,94,8.58%,7.22%,-0.65%,16.88%,-1.45%,-1.45%
2022-10-31,000869,张  裕Ａ,Spring,93,4.99%,6.73%,7.43%,11.61%,6.63%,6.63%
2022-10-31,600559,老白干酒,Spring,92,9.28%,8.15%,8.05%,28.21%,7.25%,7.25%
2022-10-31,002061,浙江交科,Spring,91,6.38%,8.12%,8.70%,2.51%,7.90%,7.90%
